"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"GA","Forsyth","2010",2,19.2,5.67,108000,"13067","13","067"
"GA","Fulton","2010",3,21.8,6.6666666666666667,,"13049","13","049"
"GA","Gilmer","2010",1,4.199999809,,,"13021","13","021"
"GA","Gwinnett","2010",1,6.44,7,,"13135","13","135"
"GA","Morgan","2010",1,8.23,5.89,48500,"13087","13","087"
"GA","Union","2010",1,5.039999962,,,"13087","13","087"
"GA","Walker","2010",2,6.19999981,,,"13127","13","127"
"GA","Whitfield","2010",2,150.449999809,,,"13313","13","313"
"HI","Hawaii","2010",2,21.2,,,"15001","15","001"
"HI","Kauai","2010",149,851.1,,,"15007","15","007"
"HI","Maui","2010",13,51.48,,,"15009","15","009"
"IA","Black Hawk","2010",1,206.4,12.22,2522625,"19013","19","013"
"IA","Dubuque","2010",1,2.5,,,"19061","19","061"
"IA","Jefferson","2010",14,143.38,3.8364285714285714,498122,"19059","19","059"
"IA","Lee","2010",1,13.2,3.66,48343,"19077","19","077"
"IA","Poweshiek","2010",1,6,3.91,23465,"19157","19","157"
"IA","Washington","2010",1,1.8,5.82,10475,"19023","19","023"
"IA","Winneshiek","2010",1,2,6,12000,"19191","19","191"
"ID","Ada","2010",3,16.44,,,"16001","16","001"
"ID","Blaine","2010",1,55.5,,,"16011","16","011"
"ID","Butte","2010",1,55.44,6.48,359000,"16019","16","019"
"ID","Lemhi","2010",1,1.1,,,"16059","16","059"
"ID","Teton","2010",1,7.59,6.32,48000,"16039","16","039"
"IL","Boone","2010",4,8.2,5.97461309525,48990,"17011","17","011"
"IL","Bureau","2010",2,4.2,3.2719047619,13750,"17011","17","011"
"IL","Carroll","2010",6,11.98,7.8283333333333333,102820.19,"17015","17","015"
"IL","Champaign","2010",7,56.8,7.6919047619,484625.98,"17021","17","021"
"IL","Clinton","2010",2,12.04,5.05865033225,60889.9,"17035","17","035"
"IL","Cook","2010",77,10674.364,8.8655736509631579,5550761.27,"17031","17","031"
"IL","Crawford","2010",1,3.5,9.57,33504,"17033","17","033"
"IL","DeKalb","2010",2,6.228,9.6,50681,"17049","17","049"
