"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"MD","Worcester","2012",25,448.625,4.482526269012,2142119.2,"24047","24","047"
"ME","Androscoggin","2012",6,46.73,5.4859985577,248234,"23001","23","001"
"ME","Aroostook","2012",2,10.95,5.17860760705,65248,"23003","23","003"
"ME","Cumberland","2012",99,586.768,4.1774286853130435,2049862.41,"23049","23","049"
"ME","Franklin","2012",1,4.32,3.825462963,16526,"23047","23","047"
"ME","Hancock","2012",26,120.379,4.588384223092,477376.35,"23029","23","029"
"ME","Kennebec","2012",22,620.7,3.81884269827,1795471,"23011","23","011"
"ME","Knox","2012",21,93.034,3.8693877117333333,354971.92,"23093","23","093"
"ME","Lincoln","2012",8,40.62,4.0034437057125,138170.48,"23073","23","073"
"ME","Oxford","2012",11,57.385,4.6304765269090909,263896,"23017","23","017"
"ME","Penobscot","2012",10,46.642,5.1927251276,231241.95,"23019","23","019"
"ME","Piscataquis","2012",1,4.8,4.2287666667,20298.08,"23021","23","021"
"ME","Sagadahoc","2012",14,62.87,4.17431484085,256461,"23023","23","023"
"ME","Somerset","2012",5,58.66,6.84697789956,301569,"23035","23","035"
"ME","Waldo","2012",26,188.086,3.870118276,612708.54,"23027","23","027"
"ME","Washington","2012",6,47.3,3.8782281703,165752.14,"23023","23","023"
"ME","York","2012",28,156.87,4.0768712468541667,541319.13,"23091","23","091"
"MI","Berrien","2012",1,10,,,"26021","26","021"
"MI","Cass","2012",1,6.58,6.52,42900,"26067","26","067"
"MI","Clare","2012",1,10,,,"26035","26","035"
"MI","Grand Traverse","2012",2,8.32,4.16,34650,"26055","26","055"
"MI","Houghton","2012",2,10.2,4.165,29803,"26061","26","061"
"MI","Kent","2012",1,100.8,,,"26081","26","081"
"MI","Lapeer","2012",1,2.64,,,"26087","26","087"
"MI","Livingston","2012",2,5.98,,,"26051","26","051"
"MI","Muskegon","2012",1,71,5.63,400000,"26121","26","121"
"MI","Oakland","2012",2,4,,,"26125","26","125"
"MI","Shiawassee","2012",1,2.07,,,"26155","26","155"
"MI","Washtenaw","2012",1,31.63,5,158000,"26161","26","161"
"MI","Wayne","2012",4,1203.02,6.5,87750,"26099","26","099"
"MN","Anoka","2012",1,5.5,,,"27003","27","003"
"MN","Cass","2012",1,3.52,,,"27067","27","067"
"MN","Chisago","2012",4,79.095,5.56,56000,"27025","27","025"
"MN","Dakota","2012",2,239.7,4.105,927145,"27043","27","043"
"MN","Dodge","2012",1,28,,,"27027","27","027"
"MN","Hennepin","2012",17,1504.827,6.3316666666666667,1195000,"27053","27","053"
"MN","Houston","2012",2,20.5,,,"27069","27","069"
"MN","Hubbard","2012",1,35,3.41,119411,"27057","27","057"
"MN","Lake","2012",1,5.5,6.04,33200,"27065","27","065"
"MN","Nicollet","2012",2,89.64,3.74,308683,"27103","27","103"
"MN","Ramsey","2012",4,83.66,13.34,254865,"27071","27","071"
"MN","Rice","2012",1,7.2,7.24,52100,"27131","27","131"
"MN","Rock","2012",1,10,5.77,57748,"27105","27","105"
"MN","Steele","2012",1,26,,,"27091","27","091"
"MN","St. Louis","2012",3,53,5.6966666666666667,241950,"27189","27","189"
"MN","Wabasha","2012",2,7.25,3.36,34687,"27157","27","157"
"MN","Washington","2012",1,40,7.25,290000,"27023","27","023"
"MN","Winona","2012",2,46.6,4.9,219059.8,"27169","27","169"
"MO","Adair","2012",1,25,6.25,156281,"29001","29","001"
"MO","Andrew","2012",38,759.46,,,"29003","29","003"
"MO","Audrain","2012",1,9.9,,,"29007","29","007"
