"sfh_qty","th_qty","households","hhincome_below_10k","hhincome_10_below_15k","hhincome_15_below_25k","hhincome_25_below_35k","hhincome_35_below_50k","hhincome_50_below_75k","hhincome_75_below_100k","hhincome_100_below_150k","hhincome_150_below_200k","hhincome_above_200k","avg_rtl_price","dem_share","year_since_1990","count"
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,19.75,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,19.5,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,19,4
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,18.5,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,18.25,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,18,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,17.75,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,17.5,2
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,17.25,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,17,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,16.5,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,16.25,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,16,2
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,15.75,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,15.5,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,13,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,12.75,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,11.5,2
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,11.25,3
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,11,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,10.5,1
58380,4765,83487,7013,5427,10352,10436,13024,15946,9017,8015,2338,1837,8.75,0.46045348268174650644,10.25,1
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,24.75,1
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,24.5,6
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,24,1
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,23.75,1
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,23.5,2
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,22.5,1
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,21,1
26409,2455,37556,1728,751,3004,3305,4882,6760,5596,6460,2742,2291,9.44,0.42090587744527630799,20.75,1
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,26,727
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,25.75,454
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,25.5,513
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,25.25,583
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,25,404
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,24.75,144
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,24.5,226
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,24.25,159
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,24,176
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,23.75,105
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,23.5,96
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,23.25,97
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,23,46
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,22.75,67
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,22.5,50
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,22.25,69
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,22,77
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,21.75,50
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,21.5,53
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,21.25,108
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,21,108
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,20.75,72
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,20.5,138
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,20.25,109
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,20,74
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,19.75,49
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,19.5,54
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,19.25,56
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,19,42
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,18.75,36
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,18.5,15
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,18.25,19
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,18,13
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,17.75,16
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,17.5,16
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,17.25,20
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,17,26
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,16.75,18
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,16.5,11
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,16.25,6
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,16,6
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,15.75,10
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,15.5,5
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,15.25,5
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,15,8
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,14.75,5
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,14.5,7
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,14.25,16
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,14,11
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,13.75,14
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,13.5,7
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,13.25,11
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,13,21
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,12.75,20
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,12.5,1
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,12.25,3
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,12,2
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,11.75,3
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,11.25,1
353818,13672,440640,13219,10135,25116,24235,36132,58164,53758,89891,55521,73587,15.28,0.52872463239761817961,11,1
7365,90,7823,923,829,1439,1064,1244,1181,430,548,110,55,8.19,0.35640988582165052753,20.5,1
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,26,230
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,25.75,213
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,25.5,126
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,25.25,112
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,25,128
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,24.75,142
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,24.5,126
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,24.25,153
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,24,119
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,23.75,83
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,23.5,107
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,23.25,103
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,23,40
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,22.75,44
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,22.5,45
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,22.25,58
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,22,40
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,21.75,47
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,21.5,63
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,21.25,39
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,21,46
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,20.75,33
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,20.5,60
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,20.25,52
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,20,36
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,19.75,26
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,19.5,15
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,19.25,9
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,19,14
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,18.75,14
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,18.5,16
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,18.25,14
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,18,17
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,17.75,9
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,17.5,6
73873,9700,101818,7127,4887,10895,10589,13440,18429,12116,14051,5396,4684,13.74,0.58111420340803671696,17,3
