"state","county","year","count","total_size","average_cost_per_watt","sum_cost","concat_code","state_code","county_code"
"WV","Grant","2007",1,6.5,1.92,12500,"54053","54","053"
"WY","Albany","2007",1,0.22,,,"56001","56","001"
"WY","Carbon","2007",1,3,,,"56025","56","025"
"WY","Fremont","2007",5,6.71,,,"56043","56","043"
"WY","Johnson","2007",1,0.4,,,"56071","56","071"
"WY","Laramie","2007",2,1.42,,,"56021","56","021"
"WY","Natrona","2007",1,2.5,,,"56025","56","025"
"WY","Platte","2007",1,1.1,,,"56031","56","031"
"WY","Sheridan","2007",1,0.66,,,"56033","56","033"
"WY","Sweetwater","2007",2,0.81,,,"56037","56","037"
"WY","Washakie","2007",1,1.11,,,"56043","56","043"
